store_id,week_start_date,forecast_units,seasonal_baseline,lag_1,rolling_4_week_avg
CA_3,2016-05-21,42524,41042,42909,43820.75
WI_2,2016-05-21,38045,22084,38970,38556.5
CA_1,2016-05-21,32571,30201,34033,33417.25
CA_2,2016-05-21,31186,18134,33995,32788.0
TX_2,2016-05-21,28340,24694,29370,28503.5
TX_3,2016-05-21,28049,24668,29319,28741.0
WI_1,2016-05-21,27513,22881,28376,28008.5
WI_3,2016-05-21,25825,18345,29563,28627.5
TX_1,2016-05-21,23966,21169,25364,24118.25
CA_4,2016-05-21,20017,16117,20080,19585.0
