store_id,week_start_date,forecast_units,average_recent_demand,demand_std,coefficient_of_variation,demand_variability,optimized_safety_stock,recommended_inventory,flat_15pct_inventory,inventory_difference
CA_3,2016-05-21,42524,42630.230769230766,3253.283711054937,0.07631400657120206,Low,5352,47876,48903,-1027
WI_2,2016-05-21,38045,34301.88461538462,5917.797139658798,0.17252104967447263,Medium,9735,47780,43752,4028
CA_1,2016-05-21,32571,30541.03846153846,2111.4047358243606,0.06913336422673827,Low,3473,36044,37457,-1413
CA_2,2016-05-21,31186,29448.384615384617,2398.2706949287117,0.08143980480599236,Low,3945,35131,35864,-733
TX_2,2016-05-21,28340,27443.423076923078,2017.6038099305208,0.0735186643544881,Low,3319,31659,32591,-932
TX_3,2016-05-21,28049,26194.5,2150.180945874091,0.08208520666071469,Low,3537,31586,32256,-670
WI_3,2016-05-21,25825,26513.423076923078,2816.429415740106,0.10622654824949736,Medium,4633,30458,29699,759
WI_1,2016-05-21,27513,26130.96153846154,1550.3598932059415,0.05933038058794751,Low,2550,30063,31640,-1577
TX_1,2016-05-21,23966,22187.96153846154,1795.3391764403568,0.08091501210366896,Low,2953,26919,27561,-642
CA_4,2016-05-21,20017,17501.153846153848,1536.6581582722345,0.08780324839038765,Low,2528,22545,23020,-475
