Item Id,Total Units Sold
FOODS_3_090,1017916
FOODS_3_586,932236
FOODS_3_252,573723
FOODS_3_555,497881
FOODS_3_587,402159
FOODS_3_714,402111
FOODS_3_694,395937
FOODS_3_226,368369
FOODS_3_202,300529
FOODS_3_120,290132
FOODS_3_723,289170
FOODS_3_635,282174
FOODS_3_808,281888
FOODS_3_377,276989
FOODS_3_541,272632
FOODS_3_080,265811
FOODS_3_318,264845
FOODS_2_360,261878
FOODS_3_681,256134
FOODS_3_234,254447
FOODS_1_218,237733
FOODS_3_376,231286
FOODS_3_607,225436
FOODS_3_099,216471
FOODS_3_319,208363
